users_mac,users_name,users_email,users_ugroup
91352,83333,77883,4
40084,27490,74286,2
29672,64503,11335,4
97970,71477,57531,3
-29031,61867,66753,6
-4288,81813,9745,5
-58198,74139,73706,6
5443,14420,89658,3
-91395,98605,34430,2
26167,92108,4748,5
71987,47517,87969,2
-17188,67887,26900,1
10373,59403,54923,2
-17040,62581,7435,6
-59335,55264,46521,1
-27893,81260,3069,6
78509,51788,11585,7
-46144,9298,93987,1
-91211,73262,50167,1
-49985,21549,15706,4
-90578,22459,52275,3
-18555,68891,36036,1
-28852,36872,32218,4
-48875,23918,57209,1
77545,95793,57263,4
60602,56947,2888,3
-65737,42284,18456,2
36779,26742,83260,4
-56846,9384,52410,1
-10713,23545,45703,1
60637,18706,93680,5
-41408,6133,99079,3
-10331,12119,51582,6
-42772,35191,68477,6
-79193,48838,46005,5
-11853,52769,66541,4
32083,49264,64216,5
-45429,48463,89142,6
69700,55693,38529,2
15717,80391,14771,6
-16556,51939,47382,7
-7335,41498,23209,1
-24898,35939,89163,6
75205,20481,68072,3
-23179,81958,66744,4
8186,11134,86334,1
-21156,13252,89143,7
-20074,15220,95487,2
-49636,77607,39314,1
-57979,89507,11516,6
82921,25425,86617,5
-24472,80323,28576,3
37921,8772,7197,2
-84487,70230,76086,5
69624,67169,42527,7
-42156,65773,74651,4
64724,85359,25179,5
42211,16822,48603,2
-46718,47780,52111,2
-23456,76858,72474,5
11642,42984,11883,3
58263,2096,5339,5
-29643,92818,59522,4
-65203,57794,88588,3
88641,12371,39809,5
958,88082,71141,7
-36487,37422,26135,1
15115,22232,29968,5
-54973,70607,34345,5
33798,88722,12591,5
23251,87125,95235,7
48790,74347,48109,7
-29887,72936,57684,5
69591,74745,69367,5
96165,93856,89401,7
-71345,20269,69046,1
43536,83408,43002,7
-71427,10978,86007,4
-39288,37572,83381,7
-37497,1593,69338,2
-86497,18267,50608,1
-54411,62149,57188,1
-11863,58263,31771,6
51624,81368,43813,4
7039,28525,52027,5
95891,83714,75150,2
12317,35421,77221,3
-84676,80444,20115,6
95739,35260,51329,2
-41206,77769,70200,7
64322,51102,61662,7
26381,19524,18035,3
33867,78208,49267,7
97349,26175,4421,4
93089,26987,13339,2
94472,20112,44886,6
95133,87707,11055,2
57480,6336,10739,2
-21167,22408,68671,6
-42212,22098,95558,1
-18901,53013,2801,2
98245,31659,49834,3
17428,64820,1907,3
35375,67602,89712,5
-91109,6793,48304,4
-21958,63914,43806,7
-73757,51088,93908,3
-65798,8289,2031,2
78831,23817,30478,6
73254,13215,27675,4
56886,58877,76860,6
-79550,47984,14186,2
1055,47484,36876,6
-30194,28291,58769,5
51276,73303,60048,1
-56831,87737,59102,7
89458,21730,36068,1
-62748,17586,39423,5
-35390,66845,99128,5
-6903,47212,93179,5
-46874,53068,57753,3
67981,5857,91544,2
19972,78181,61733,3
1917,61146,84994,5
30957,9363,3878,2
69082,46137,10629,2
-20946,94835,66787,3
20248,59713,28822,5
-13388,55926,45599,3
60748,105,76864,7
-68235,56679,76789,7
23160,61819,17056,3
24421,87679,73356,4
-82239,6701,59596,4
45161,21247,64991,1
97484,80407,22823,1
69839,10298,39803,3
-34616,4270,31182,6
-92079,62448,9940,7
-81153,73908,23361,3
-83622,93042,38444,2
-75737,6196,2618,4
-58424,13819,6475,4
-64016,824,72234,2
-97022,20035,99006,3
35328,75040,29940,5
-56733,60510,27740,1
-25852,14753,23497,7
-13581,13487,72707,3
51082,35896,82443,6
48955,280,23533,2
-36493,86452,97829,1
29144,43084,33023,7
11771,76822,22998,5
-8192,76915,66737,4
-45128,74903,1709,6
-1573,48571,74456,1
-18657,28639,33342,2
67617,11029,38649,2
-15049,343,77281,1
-25393,61888,42542,2
-82091,21558,1090,2
-10266,45109,59714,7
-80209,9736,2206,3
-78181,22381,3388,3
95508,89057,53109,1
-47601,88560,96555,5
50802,76210,24195,3
50981,21342,74368,1
-70132,12451,99755,7
-35103,64212,12146,5
3968,4931,77460,7
-74183,56079,3374,4
-39055,31582,24658,4
-82845,39121,38882,6
-41545,5733,25980,5
61010,80025,36768,5
-52420,46750,30187,1
-13526,66987,530,2
-69258,29590,15346,6
21646,41273,19538,6
70774,95649,68907,1
-85848,12584,682,6
64608,86375,62722,5
21343,39417,21535,2
-35245,41285,38418,2
68965,35381,93842,3
-55157,5216,79371,7
-71557,36235,85009,6
-22024,20437,89260,6
-19428,18992,68497,4
-35827,12107,70445,2
-8268,66191,74546,4
95596,55764,48008,6
-97815,47570,47173,3
84145,34387,99995,6
27438,16006,488,2
-55365,8289,22451,1
62476,6815,51762,2
-5564,43768,40625,7
-36450,81442,92605,6
-88608,17683,35698,7
-16512,10138,74582,1
-36042,33792,99965,7
45032,89292,49939,2
-46098,64730,97367,6
-73251,65245,83586,4
-6456,92411,66868,3
-72114,25180,51792,4
51248,76840,7752,1
65017,18851,35844,2
-80193,23135,77610,6
66996,43503,14522,5
5310,15383,91081,7
-37163,65862,73092,6
-17586,3969,48526,7
-28331,48323,77662,7
-3902,44470,66456,3
-41521,26915,32734,5
-8947,9928,17631,4
65132,75144,91820,4
65704,67749,68231,5
75010,7132,84659,6
-90940,27792,9238,5
-60045,77437,2305,7
35942,61656,14371,3
79800,24620,85285,5
-47628,7686,85627,4
-88023,92929,20475,3
-80020,10026,57412,1
40605,46553,12233,7
-18593,65140,85698,2
40703,65479,70382,1
-5206,56171,36126,7
-51072,6342,24328,2
-13618,71128,89570,5
-88465,84524,77731,1
-84819,76506,46546,5
-5441,32666,23892,2
52180,38949,3135,6
10120,22026,43432,3
-92089,22138,54156,6
-73395,22033,93811,3
35231,46,58605,1
7369,73771,28504,7
56001,58292,49277,6
85791,73406,72477,4
97167,44484,26007,2
95291,9965,40227,2
1845,26036,20163,5
16410,61995,58872,5
-50780,29666,63695,5
41867,65124,10916,6
70568,17897,23562,6
-21365,40326,66336,6
51211,56118,12569,6
29418,39133,64886,3
-43346,91175,17728,5
8298,31435,161,6
-54810,98793,40004,6
54972,30089,82335,2
-40984,24980,15394,1
-25739,72496,76239,4
94809,72037,50158,5
36872,17924,49659,3
30324,37857,829,1
-16641,63561,15096,3
63332,92113,80574,2
-68168,2026,36232,1
-92279,40020,72932,4
1882,98154,78445,4
41468,79587,87675,3
88018,44021,33421,1
16023,11762,6699,1
27694,77262,58086,3
5223,66639,81074,4
12974,55481,57764,6
52887,7504,65137,6
-42095,7457,92490,1
-92031,70375,86860,6
37147,63050,60108,1
11820,98426,39592,6
-28631,24936,90195,4
-17257,85811,33928,3
-15639,53497,5052,6
-28091,70187,73613,2
51437,16330,7859,7
29759,53644,65691,6
2201,22460,16320,6
69278,58261,42699,3
94612,96860,6775,7
-91374,32420,47506,1
-70562,4770,17367,2
-46845,72251,8055,3
-83515,28804,97514,3
-15121,12024,37898,4
15101,91339,88132,3
-92081,63277,39534,2
81557,20804,10826,4
15365,53154,17203,5
-66475,85052,63317,5
95952,95770,23289,3
-59854,12856,30569,4
-72624,39111,50797,3
4561,97690,98028,4
47450,37543,74755,6
27011,29439,22090,4
-97269,51279,14545,6
-93932,59436,90562,5
21346,26690,97526,1
-98076,93106,26346,2
-671576,71822,91691,6
32958,34615,11084,4
-16869,18277,41328,7
-14826,49305,6176,2
96165,83986,13566,6
91871,10048,12482,3
-997453,95612,9451,6
47083,49979,29084,2
-93932,22334,53880,7
-13106,81244,97459,5
11604,4556,18296,5
41902,82918,50828,7
-1454952,80602,16644,4
87694,53435,44412,7
18772,68894,6979,3
88546,32421,27477,6
-66426,75634,49625,3
2201,32721,24611,2
86978,36135,41536,4
3025,6795,92353,4
88261,83976,86094,4
-6106,74082,99921,7
-70434,30537,57689,1
1204276,45177,61329,6
98356,25602,91827,4
-48581,24350,1799,1
13950,2524,9398,1
-43445,43378,71177,1
-91374,96057,88308,2
86473,96349,73852,5
-82298,4942,39157,3
-740537,6227,50824,4
-25519,7863,62571,4
-15549,892,1626,2
-57355,98745,74056,3
-15049,97333,70151,2
1468232,73875,25695,5
-10125,95794,21386,6
66812,68952,15373,6
96165,62375,42198,6
-6839,255,87513,2
66612,86060,49197,2
